State,Industry,Employed person in Thousands
W.P. KUALA LUMPUR,Information and communication,37.1
W.P. LABUAN,Information and communication,0.4
W.P. PUTRAJAYA,Information and communication,0.7
JOHOR,Financial and insurance/takaful activities,27.3
KEDAH,Financial and insurance/takaful activities,11.3
KELANTAN,Financial and insurance/takaful activities,8.2
MALAYSIA,Financial and insurance/takaful activities,369
MELAKA,Financial and insurance/takaful activities,9.1
NEGERI SEMBILAN,Financial and insurance/takaful activities,13.3
PULAU PINANG,Financial and insurance/takaful activities,15.5
PAHANG,Financial and insurance/takaful activities,8.2
PERAK,Financial and insurance/takaful activities,17.6
PERLIS,Financial and insurance/takaful activities,1
SABAH,Financial and insurance/takaful activities,17.9
SARAWAK,Financial and insurance/takaful activities,14.4
SELANGOR,Financial and insurance/takaful activities,160.7
TERENGGANU,Financial and insurance/takaful activities,4.4
W.P. KUALA LUMPUR,Financial and insurance/takaful activities,58.6
W.P. LABUAN,Financial and insurance/takaful activities,0.9
W.P. PUTRAJAYA,Financial and insurance/takaful activities,0.6
JOHOR,Real estate activities,13.2
KEDAH,Real estate activities,3
KELANTAN,Real estate activities,0.6
MALAYSIA,Real estate activities,84.5
MELAKA,Real estate activities,1.3
NEGERI SEMBILAN,Real estate activities,2.6
PULAU PINANG,Real estate activities,5.6
PAHANG,Real estate activities,1.4
PERAK,Real estate activities,1
PERLIS,Real estate activities,0.2
SABAH,Real estate activities,5.1
SARAWAK,Real estate activities,2.1
SELANGOR,Real estate activities,30.7
TERENGGANU,Real estate activities,0.7
W.P. KUALA LUMPUR,Real estate activities,16.6
W.P. LABUAN,Real estate activities,0.2
W.P. PUTRAJAYA,Real estate activities,0.1
JOHOR,"Professional, scientific and technical activities",31.8
KEDAH,"Professional, scientific and technical activities",10.7
KELANTAN,"Professional, scientific and technical activities",6.3
MALAYSIA,"Professional, scientific and technical activities",348.1
MELAKA,"Professional, scientific and technical activities",8.4
NEGERI SEMBILAN,"Professional, scientific and technical activities",10
PULAU PINANG,"Professional, scientific and technical activities",21.4
PAHANG,"Professional, scientific and technical activities",5.8
PERAK,"Professional, scientific and technical activities",13.5
PERLIS,"Professional, scientific and technical activities",0.9
SABAH,"Professional, scientific and technical activities",19.2
SARAWAK,"Professional, scientific and technical activities",16.9
SELANGOR,"Professional, scientific and technical activities",131.8
TERENGGANU,"Professional, scientific and technical activities",5.4
W.P. KUALA LUMPUR,"Professional, scientific and technical activities",64.1
W.P. LABUAN,"Professional, scientific and technical activities",0.6
W.P. PUTRAJAYA,"Professional, scientific and technical activities",1.2
JOHOR,Administrative and support service activities,72.6
KEDAH,Administrative and support service activities,46.1
KELANTAN,Administrative and support service activities,28.6
MALAYSIA,Administrative and support service activities,677.2
MELAKA,Administrative and support service activities,20
NEGERI SEMBILAN,Administrative and support service activities,26
PULAU PINANG,Administrative and support service activities,29.3
PAHANG,Administrative and support service activities,32.9
PERAK,Administrative and support service activities,48.7
PERLIS,Administrative and support service activities,6.8
SABAH,Administrative and support service activities,60.4
SARAWAK,Administrative and support service activities,42.8
SELANGOR,Administrative and support service activities,183.9
TERENGGANU,Administrative and support service activities,26.2
W.P. KUALA LUMPUR,Administrative and support service activities,48.8
W.P. LABUAN,Administrative and support service activities,3.3
W.P. PUTRAJAYA,Administrative and support service activities,0.7
JOHOR,Public administration and defence; compulsory social security,53
KEDAH,Public administration and defence; compulsory social security,41.1
KELANTAN,Public administration and defence; compulsory social security,39.9
MALAYSIA,Public administration and defence; compulsory social security,742.2
MELAKA,Public administration and defence; compulsory social security,25.3
NEGERI SEMBILAN,Public administration and defence; compulsory social security,31.4
PULAU PINANG,Public administration and defence; compulsory social security,32.4
PAHANG,Public administration and defence; compulsory social security,44.4
PERAK,Public administration and defence; compulsory social security,62
PERLIS,Public administration and defence; compulsory social security,9
SABAH,Public administration and defence; compulsory social security,75.9
SARAWAK,Public administration and defence; compulsory social security,82.3
SELANGOR,Public administration and defence; compulsory social security,139.5
TERENGGANU,Public administration and defence; compulsory social security,31.3
W.P. KUALA LUMPUR,Public administration and defence; compulsory social security,47.9
W.P. LABUAN,Public administration and defence; compulsory social security,4.5
W.P. PUTRAJAYA,Public administration and defence; compulsory social security,22.4
JOHOR,Education,90.1
KEDAH,Education,59.2
KELANTAN,Education,52
MALAYSIA,Education,880.3
MELAKA,Education,34.6
NEGERI SEMBILAN,Education,35.8
PULAU PINANG,Education,40.4
PAHANG,Education,54.8
PERAK,Education,71.7
PERLIS,Education,12.3
SABAH,Education,89.3
SARAWAK,Education,77.5
SELANGOR,Education,185.1
TERENGGANU,Education,36
W.P. KUALA LUMPUR,Education,36.8
W.P. LABUAN,Education,2.2
W.P. PUTRAJAYA,Education,2.6
JOHOR,Human health and social work activities,54.3
KEDAH,Human health and social work activities,49.6
KELANTAN,Human health and social work activities,32.9
MALAYSIA,Human health and social work activities,588
MELAKA,Human health and social work activities,19.3
NEGERI SEMBILAN,Human health and social work activities,25.5
PULAU PINANG,Human health and social work activities,30.9
PAHANG,Human health and social work activities,34.7
PERAK,Human health and social work activities,53.3
PERLIS,Human health and social work activities,4.5
SABAH,Human health and social work activities,40.9
SARAWAK,Human health and social work activities,36.3
SELANGOR,Human health and social work activities,148.8
TERENGGANU,Human health and social work activities,20.1
W.P. KUALA LUMPUR,Human health and social work activities,33.6
W.P. LABUAN,Human health and social work activities,1
W.P. PUTRAJAYA,Human health and social work activities,2.6
JOHOR,"Arts, entertainment and recreation",7.8
KEDAH,"Arts, entertainment and recreation",4.3
KELANTAN,"Arts, entertainment and recreation",2.3
MALAYSIA,"Arts, entertainment and recreation",84.3
MELAKA,"Arts, entertainment and recreation",3.3
NEGERI SEMBILAN,"Arts, entertainment and recreation",3.3
PULAU PINANG,"Arts, entertainment and recreation",5.5
PAHANG,"Arts, entertainment and recreation",3.7
PERAK,"Arts, entertainment and recreation",6.1
PERLIS,"Arts, entertainment and recreation",0.4
SABAH,"Arts, entertainment and recreation",8.6
SARAWAK,"Arts, entertainment and recreation",6.3
SELANGOR,"Arts, entertainment and recreation",22.1
TERENGGANU,"Arts, entertainment and recreation",2.7
W.P. KUALA LUMPUR,"Arts, entertainment and recreation",7.6
W.P. LABUAN,"Arts, entertainment and recreation",0.3
W.P. PUTRAJAYA,"Arts, entertainment and recreation",0.1
JOHOR,Others service activities,30.8
KEDAH,Others service activities,9.8
KELANTAN,Others service activities,8.5
MALAYSIA,Others service activities,260.1
MELAKA,Others service activities,8.9
NEGERI SEMBILAN,Others service activities,6.2
PULAU PINANG,Others service activities,16.9
PAHANG,Others service activities,8.7
PERAK,Others service activities,19.4
PERLIS,Others service activities,1.2
SABAH,Others service activities,27
SARAWAK,Others service activities,20.5
SELANGOR,Others service activities,70.9
TERENGGANU,Others service activities,7.4
W.P. KUALA LUMPUR,Others service activities,23.7
W.P. LABUAN,Others service activities,0.5
W.P. PUTRAJAYA,Others service activities,0
JOHOR,Activities of households as employers,9.6
KEDAH,Activities of households as employers,4.4
KELANTAN,Activities of households as employers,2.2
MALAYSIA,Activities of households as employers,106.9
MELAKA,Activities of households as employers,3.1
NEGERI SEMBILAN,Activities of households as employers,6
PULAU PINANG,Activities of households as employers,6.1
PAHANG,Activities of households as employers,1.8
PERAK,Activities of households as employers,8.7
PERLIS,Activities of households as employers,0.4
SABAH,Activities of households as employers,19.3
SARAWAK,Activities of households as employers,5.3
SELANGOR,Activities of households as employers,30
TERENGGANU,Activities of households as employers,1
W.P. KUALA LUMPUR,Activities of households as employers,7.6
W.P. LABUAN,Activities of households as employers,0.4
W.P. PUTRAJAYA,Activities of households as employers,1
